LOC100129250	LOC100129250
DEPDC1	DEPDC1
LOC100996605	LOC100996605
ZBTB32	ZBTB32
DACT3	DACT3
SPIN4	SPIN4
ZNF880	ZNF880
SLC7A13	SLC7A13
PGLS	PGLS
SFI1	SFI1
C10orf25	C10orf25
SLC16A1	SLC16A1
MICA	MICA
CCBL1	CCBL1
PEG3	PEG3
RPRM	RPRM
SCAI	SCAI
EPB41L4A	EPB41L4A
RBPMS2	RBPMS2
MIR155HG	MIR155HG
GJA3	GJA3
OSM	OSM
PSMA5	PSMA5
RNF151	RNF151
SPCS3	SPCS3
ARHGEF4	ARHGEF4
HOXD3	HOXD3
GMNN	GMNN
MUS81	MUS81
PACSIN1	PACSIN1
HDAC11	HDAC11
CCDC126	CCDC126
ADAD1	ADAD1
CHD1	CHD1
MICAL2	MICAL2
MEA1	MEA1
POLR2G	POLR2G
PLCH2	PLCH2
MAP3K7	MAP3K7
SLC35C1	SLC35C1
SLC45A3	SLC45A3
COL4A4	COL4A4
GLUL	GLUL
PHYH	PHYH
MYOM2	MYOM2
ADIPOQ	ADIPOQ
MFAP5	MFAP5
LOC100996412	LOC100996412
NKAIN4	NKAIN4
C19orf59	C19orf59
KLHDC4	KLHDC4
HCFC2	HCFC2
SLC19A1	SLC19A1
HSF1	HSF1
CIAPIN1	CIAPIN1
CT62	CT62
SNX11	SNX11
GNPNAT1	GNPNAT1
ADCY5	ADCY5
SUN3	SUN3
GADD45B	GADD45B
UBE2I	UBE2I
TLN2	TLN2
FTL	FTL
DCTPP1	DCTPP1
DUSP28	DUSP28
IP6K3	IP6K3
KARS	KARS
TCP1	TCP1
CDK5R1	CDK5R1
ELOVL2	ELOVL2
PTPN5	PTPN5
COX5A	COX5A
AKAP8	AKAP8
ABI2	ABI2
MGRN1	MGRN1
APBA2	APBA2
ZNF184	ZNF184
IL20RA	IL20RA
TMEM173	TMEM173
BID	BID
C11orf93	C11orf93
SLC33A1	SLC33A1
MATN3	MATN3
CXCR3	CXCR3
APOA5	APOA5
PREX1	PREX1
C11orf96	C11orf96
IGFBPL1	IGFBPL1
ZNF785	ZNF785
GP2	GP2
DYNLT1	DYNLT1
SBF2	SBF2
ITPRIPL2	ITPRIPL2
PYROXD2	PYROXD2
C1orf192	C1orf192
LOC439949	LOC439949
PDE3B	PDE3B
TRIM6	TRIM6
C6orf132	C6orf132
IQCF1	IQCF1
GPRC5A	GPRC5A
TNIP1	TNIP1
TMEM27	TMEM27
PIGK	PIGK
MYO5A	MYO5A
ACVR2A	ACVR2A
F5	F5
FGFR3	FGFR3
KCNJ2	KCNJ2
PARP12	PARP12
CHMP4A	CHMP4A
GPR39	GPR39
C2CD4A	C2CD4A
KATNB1	KATNB1
CDCA3	CDCA3
GCNT2	GCNT2
SPOCD1	SPOCD1
MB21D1	MB21D1
BCS1L	BCS1L
FAM134B	FAM134B
FLRT3	FLRT3
FZD8	FZD8
ANKRD13A	ANKRD13A
ATG4D	ATG4D
KATNAL1	KATNAL1
EPSTI1	EPSTI1
GPR115	GPR115
RAB13	RAB13
MAL	MAL
PRKD1	PRKD1
GZMH	GZMH
SMC5	SMC5
AIG1	AIG1
ZNF469	ZNF469
KISS1R	KISS1R
MRPL49	MRPL49
RAD51AP1	RAD51AP1
CETN1	CETN1
MMP24	MMP24
RFX7	RFX7
ECHDC1	ECHDC1
ATP11A	ATP11A
AGTR2	AGTR2
PLK1S1	PLK1S1
MTAP	MTAP
CXorf64	CXorf64
RCAN2	RCAN2
RHOF	RHOF
ERH	ERH
HOXC6	HOXC6
RGL2	RGL2
ENPP2	ENPP2
FTSJ3	FTSJ3
AACS	AACS
SNX8	SNX8
OPRK1	OPRK1
NCKAP5	NCKAP5
ELFN2	ELFN2
GPC5	GPC5
RALGAPA1	RALGAPA1
ZCCHC10	ZCCHC10
GMEB2	GMEB2
AJUBA	AJUBA
IL21R	IL21R
IQCF5	IQCF5
LOC100129129	LOC100129129
TM2D3	TM2D3
C11orf87	C11orf87
PARK7	PARK7
VAMP3	VAMP3
TRAPPC12	TRAPPC12
SLAMF8	SLAMF8
FAM76B	FAM76B
MAU2	MAU2
ENPP1	ENPP1
FAM196A	FAM196A
GPR26	GPR26
EEF2	EEF2
TSC22D2	TSC22D2
KBTBD2	KBTBD2
ARMCX3	ARMCX3
TANC1	TANC1
ADRBK2	ADRBK2
PRICKLE1	PRICKLE1
PLEKHG5	PLEKHG5
CHL1-AS2	CHL1-AS2
ESPL1	ESPL1
UPK1A	UPK1A
SLC4A1AP	SLC4A1AP
COX8A	COX8A
SEC11A	SEC11A
PRNP	PRNP
PMAIP1	PMAIP1
PGS1	PGS1
ESAM	ESAM
BDH2	BDH2
MR1	MR1
COX7A1	COX7A1
C1orf114	CCDC181
MUM1	MUM1
CARD6	CARD6
MYEF2	MYEF2
SELO	SELO
SOCS3	SOCS3
MINK1	MINK1
MLLT3	MLLT3
RPP40	RPP40
KIAA1147	KIAA1147
CA10	CA10
MCC	MCC
KAT6A	KAT6A
KIAA0930	KIAA0930
LOC100507433	LOC100507433
CDKL2	CDKL2
TRAF3IP1	TRAF3IP1
LOC81691	LOC81691
C1orf105	C1orf105
MCMBP	MCMBP
MEF2D	MEF2D
KPNA6	KPNA6
MNT	MNT
NTAN1	NTAN1
DNAI2	DNAI2
ARHGAP5	ARHGAP5
ERVW-1	ERVW-1
OVOL1	OVOL1
MSN	MSN
NEK4	NEK4
PTPRD	PTPRD
ZNF204P	ZNF204P
PEAK1	PEAK1
ENHO	ENHO
LYPD4	LYPD4
SPERT	SPERT
ADA	ADA
POU4F2	POU4F2
KRT10	KRT10
ERBB4	ERBB4
FLJ20021	FLJ20021
COX8C	COX8C
ACVR2B	ACVR2B
NFE2L3	NFE2L3
LLGL1	LLGL1
TNFRSF9	TNFRSF9
KIAA1456	KIAA1456
C18orf42	C18orf42
TRIM46	TRIM46
SIGLECL1	SIGLECL1
H2AFZ	H2AFZ
INSL3	INSL3
PIGG	PIGG
C17orf70	C17orf70
SPZ1	SPZ1
SLAIN2	SLAIN2
ZBTB41	ZBTB41
ACCS	ACCS
NR2F2	NR2F2
SEZ6	SEZ6
ADAMTS6	ADAMTS6
BANCR	BANCR
OTX2	OTX2
CABP7	CABP7
DYNC1LI2	DYNC1LI2
EPHA5	EPHA5
HMHA1	HMHA1
PGAP1	PGAP1
LINC00323	LINC00323
SERPINB9	SERPINB9
ABRA	ABRA
DCD	DCD
RNMT	RNMT
CD27	CD27
GCKR	GCKR
TMEM100	TMEM100
FAM176C	EVA1C
CSMD3	CSMD3
LOC284933	LOC284933
SCNN1A	SCNN1A
HEPH	HEPH
LYZ	LYZ
DCP1B	DCP1B
D2HGDH	D2HGDH
C16orf89	C16orf89
SOWAHA	SOWAHA
RIT2	RIT2
EPX	EPX
MTERFD1	MTERFD1
S100A7A	S100A7A
PRSS35	PRSS35
RBM20	RBM20
EFHB	EFHB
C1orf53	C1orf53
SCO2	SCO2
KIAA1462	KIAA1462
ATP6V0E2	ATP6V0E2
RNPEPL1	RNPEPL1
MARVELD1	MARVELD1
FRS2	FRS2
AMDHD1	AMDHD1
INHBE	INHBE
SKP1	SKP1
DLG5	DLG5
PROL1	PROL1
BEGAIN	BEGAIN
NUF2	NUF2
TMEFF2	TMEFF2
FGD3	FGD3
THAP6	THAP6
MINOS1	MINOS1
ZNF319	ZNF319
SNHG9	SNHG9
NPAS3	NPAS3
C1orf172	C1orf172
SLC16A14	SLC16A14
NSMAF	NSMAF
SEC14L5	SEC14L5
CDK19	CDK19
RASIP1	RASIP1
HNRNPD	HNRNPD
IL17RD	IL17RD
INO80C	INO80C
FLJ22763	FLJ22763
AKR1D1	AKR1D1
SLCO2A1	SLCO2A1
F2RL1	F2RL1
FLG	FLG
ZBED2	ZBED2
TKTL2	TKTL2
STK40	STK40
LMBR1	LMBR1
KIAA1191	KIAA1191
CYSTM1	CYSTM1
HRCT1	HRCT1
C1orf100	C1orf100
RPS15	RPS15
PNMT	PNMT
RUSC2	RUSC2
CLCA2	CLCA2
NTPCR	NTPCR
MAPK8IP3	MAPK8IP3
HDC	HDC
CCDC12	CCDC12
SLC9A9	SLC9A9
TCF4	TCF4
ARHGAP36	ARHGAP36
CEP128	CEP128
KRT31	KRT31
ATPAF1	ATPAF1
TTC17	TTC17
LOC100505812	LOC100505812
GPR173	GPR173
SUMO3	SUMO3
PAPSS2	PAPSS2
HSD17B3	HSD17B3
KIAA0947	KIAA0947
PMP22	PMP22
MYT1	MYT1
CUX2	CUX2
HERC1	HERC1
HSPBAP1	HSPBAP1
IFFO2	IFFO2
PTRHD1	PTRHD1
TFCP2L1	TFCP2L1
CCDC151	CCDC151
